"FAHHNFC_ACCOUNT","Rekening","FAHHNFC_SECTOR","Institutionele sector","FAHHNFC_INSTRUMENT","Financieel instrument","FREQUENCY","Frequentie","TIME","Periode","Value","Flag Codes","Flags"
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2001-Q4","2001Q4",150619,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2002-Q3","2002Q3",147343,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2002-Q4","2002Q4",145570,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2003-Q4","2003Q4",141695,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2004-Q4","2004Q4",144648,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2005-Q4","2005Q4",146364,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2006-Q1","2006Q1",147064,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2006-Q4","2006Q4",149631,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2007-Q1","2007Q1",155184,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2008-Q1","2008Q1",178328,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2009-Q4","2009Q4",194826,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2010-Q4","2010Q4",192869,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2011-Q4","2011Q4",194086,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2012-Q1","2012Q1",199553,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2012-Q4","2012Q4",199171,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2013-Q1","2013Q1",211003,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2014-Q1","2014Q1",192432,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2015-Q1","2015Q1",203489,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2016-Q1","2016Q1",168988,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2016-Q2","2016Q2",178816,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2017-Q1","2017Q1",212150,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2017-Q2","2017Q2",205540,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2009-Q3","2009Q3",195868,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2010-Q3","2010Q3",192524,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2011-Q3","2011Q3",193080,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2012-Q3","2012Q3",203640,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2013-Q3","2013Q3",210761,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2013-Q4","2013Q4",202630,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2014-Q4","2014Q4",196567,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2015-Q4","2015Q4",176039,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2016-Q4","2016Q4",220162,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2017-Q4","2017Q4",210734,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2009-Q1","2009Q1",197274,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2010-Q1","2010Q1",191329,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2010-Q2","2010Q2",198431,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2011-Q1","2011Q1",193310,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2011-Q2","2011Q2",196239,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2012-Q2","2012Q2",204237,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2013-Q2","2013Q2",217244,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2014-Q2","2014Q2",189131,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2014-Q3","2014Q3",187991,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2015-Q2","2015Q2",184786,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2015-Q3","2015Q3",187723,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2016-Q3","2016Q3",181163,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2018-Q2","2018Q2",207537,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2019-Q2","2019Q2",217245,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2020-Q2","2020Q2",216019,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2020-Q3","2020Q3",216625,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2018-Q1","2018Q1",206402,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2019-Q1","2019Q1",210426,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2020-Q1","2020Q1",217928,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2017-Q3","2017Q3",201182,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2018-Q3","2018Q3",202474,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2018-Q4","2018Q4",213029,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2019-Q3","2019Q3",228953,,
"LE","Financieel vermogen","S11","Niet-financiële vennootschappen (S.11)","LL","Kortlopende leningen","Q","Driemaandelijks","2019-Q4","2019Q4",210147,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","1999-Q4","1999Q4",-15,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2000-Q4","2000Q4",34,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","1999-Q3","1999Q3",-15,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2000-Q3","2000Q3",34,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","1999-Q1","1999Q1",-15,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2001-Q1","2001Q1",-40,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2001-Q2","2001Q2",-165,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2002-Q2","2002Q2",242,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2003-Q2","2003Q2",186,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2003-Q3","2003Q3",1,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2004-Q2","2004Q2",50,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2004-Q3","2004Q3",50,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2005-Q3","2005Q3",188,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2006-Q3","2006Q3",39,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2007-Q3","2007Q3",-185,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2007-Q4","2007Q4",332,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2008-Q3","2008Q3",-147,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2008-Q4","2008Q4",97,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2002-Q1","2002Q1",-217,,
"F","Financiële transacties (vorming van activa en nieuwe verplichtingen)","S11","Niet-financiële vennootschappen (S.11)","A6","Verzekerings-, pensioen- en standaardgarantieregelingen","Q","Driemaandelijks","2003-Q1","2003Q1",206,,
