time,num_actors,gdp,transactions,min_transaction,max_transaction,collected_tax,failed_tax,collected_vat,failed_vat,debt
744,10000,942325911.1212,242672,196.0150,653921.7105,462399324.5833,0,0.0000,0,-5253145306.0387
756,10000,951793277.5090,249399,266.8844,1775698.9032,467044961.2638,0,0.0000,0,-5458880127.3025
768,10000,961347375.2567,258439,177.4558,1236785.6731,471733157.0411,0,0.0000,0,-5669303144.3436
780,10000,971013968.5852,269364,219.6212,478607.2401,476476554.3963,0,0.0000,0,-5884469558.7399
792,10000,980787531.4644,279388,174.9456,1936928.6441,481272441.7025,0,0.0000,0,-6104431860.4424
804,10000,990610268.9766,287765,195.5146,1769814.7176,486092458.9872,0,0.0000,0,-6329214179.4296
816,10000,1000554777.9293,290960,244.8218,2836520.5473,490972229.5298,0,0.0000,0,-6558876268.9594
828,10000,1010615623.0425,304929,214.8256,2729119.2104,495909086.2246,0,0.0000,0,-6793475215.1840
840,10000,1020770370.9856,318449,107.4051,3144904.4376,500892021.0383,0,0.0000,0,-7033057096.2223
852,10000,1031019828.1622,325307,157.6747,2329993.2098,505921429.6789,0,0.0000,0,-7277668385.9012
864,10000,1041383319.8296,338609,159.1555,2238992.0102,511006795.0503,0,0.0000,0,-7527365040.9515
876,10000,1051839341.2461,349731,194.3109,2936308.3281,516137564.7619,0,0.0000,0,-7782192465.7134
888,10000,1062399156.3125,359556,191.2756,2890378.6820,521319265.9896,0,0.0000,0,-8042201591.7030
900,10000,1073073459.6065,367240,137.5418,2629939.0214,526557146.6275,0,0.0000,0,-8307448598.3305
912,10000,1083856654.3897,388157,152.1572,1991934.4677,531848460.3283,0,0.0000,0,-8577986918.6588
924,10000,1094748472.6001,394385,95.5144,1688574.4846,537193075.5283,0,0.0000,0,-8853869854.1871
936,10000,1105730702.6797,414989,137.8372,1343629.2395,542582055.7997,0,0.0000,0,-9135141769.9868
948,10000,1116843978.7242,434593,78.6054,1317054.2031,548035340.3538,0,0.0000,0,-9421866970.3406
960,10000,1128059873.2232,457108,81.5987,2115828.7975,553538979.8049,0,0.0000,0,-9714095810.1455
972,10000,1139405049.2987,471118,71.1197,1932901.7471,559106057.6886,0,0.0000,0,-10011891727.8341
984,10000,1150835745.8679,488240,102.9392,1814680.0985,564715100.4974,0,0.0000,0,-10315296688.3315
996,10000,1162403359.7743,501471,19.7079,2889356.1889,570391328.6552,0,0.0000,0,-10624377876.9867
1008,10000,1174080910.5217,532368,62.2036,1589122.3846,576121502.7753,0,0.0000,0,-10939189239.7620
1020,10000,1186332641.6741,565547,78.6185,2249751.6960,582133427.2744,0,0.0000,0,-11260012527.0364
1032,10000,1197794907.2960,589745,40.1824,2026656.6661,587757961.0202,0,0.0000,0,-11586460348.0566
1044,10000,1209815960.2554,601850,22.2042,5043531.1291,593656691.6996,0,0.0000,0,-11918806899.7562
1056,10000,1221968322.6717,626257,36.0953,2655722.4126,599619855.9593,0,0.0000,0,-12257116615.7155
1068,10000,1234243460.2585,656328,36.4207,1222378.3293,605643265.9450,0,0.0000,0,-12601449741.6605
1080,10000,1246647631.2298,695429,35.1078,2347357.5028,611729992.6553,0,0.0000,0,-12951869594.3158
1092,10000,1259387819.4113,710160,0.0687,3341200.4361,617981602.9811,0,0.0000,0,-13308541057.2969
1104,10000,1271816216.1295,743188,7.7531,2614273.0256,624080217.2562,0,0.0000,0,-13671311134.5531
1116,10000,1284592986.5432,765371,24.1512,1418709.2950,630349778.4998,0,0.0000,0,-14040350773.0529
1128,10000,1297498741.4973,796587,0.4392,5373073.8370,636682632.4567,0,0.0000,0,-14415723265.5096
1140,10000,1310537513.9536,798376,14.0724,5239370.3269,643080758.0993,0,0.0000,0,-14797493883.6089
1152,10000,1323695796.2988,817882,13.1918,4153614.7417,649537527.2380,0,0.0000,0,-15185721270.8469
1164,10000,1336993524.1122,867402,9.6748,2113413.2471,656062722.2788,0,0.0000,0,-15580473853.1257
1176,10000,1350645293.4679,868894,2.0437,5102110.9263,662761645.5206,0,0.0000,0,-15981925358.6463
1188,10000,1363992948.1470,834402,3.4885,5768632.0206,669311339.6564,0,0.0000,0,-16389926558.3027
1200,10000,1377689068.0157,833475,9.9925,4777622.1119,676032025.6698,0,0.0000,0,-16804648443.9725
