time,num_actors,gdp,transactions,min_transaction,max_transaction,projected_expenses,projected_revenue,collected_tax,tax_scale,tax_brackets,failed_tax,collected_vat,failed_vat,debt,total_gi_collector!,total_demurrage_collector!
528,10000,509837017.5503,62783,9.8369,31760.1116,261310140.0000,261574685.0022,261574685.0022,[1.4802] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149525656.0952
540,10000,509843163.4259,62703,1.0270,33850.5801,261310140.0000,261920240.3839,261920240.3839,[1.4782] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149527609.4792
552,10000,509842175.8764,62607,7.3377,33801.1971,261310140.0000,261881296.7128,261881296.7128,[1.4784] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149525202.1710
564,10000,509878217.6364,62813,3.0861,33604.8513,261310140.0000,261901807.3803,261901807.3803,[1.4783] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149524359.8054
576,10000,509841470.5542,62730,19.6949,36114.8961,261310140.0000,261734957.7227,261734957.7227,[1.4793] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149526251.7154
588,10000,509851959.1748,63136,10.7034,33987.2544,261310140.0000,261823790.1163,261823790.1163,[1.4788] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149529616.1517
600,10000,509846411.6315,63017,22.4830,35259.4260,261310140.0000,261903934.8844,261903934.8844,[1.4783] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149527215.7160
612,10000,509885037.4641,62958,37.9997,37333.9739,261310140.0000,261672548.5671,261672548.5671,[1.4796] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149523579.9036
624,10000,509845132.1718,62606,20.4995,36898.2532,261310140.0000,261758528.4865,261758528.4865,[1.4791] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149525541.3723
636,10000,509856707.2436,62718,2.8000,35171.4885,261310140.0000,261962902.2925,261962902.2925,[1.4780] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149526960.9975
648,10000,509843027.9412,62864,24.9189,33976.4407,261310140.0000,261878734.1870,261878734.1870,[1.4785] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149524825.5991
660,10000,509826164.0369,62746,11.9612,34741.4029,261310140.0000,261863129.2588,261863129.2588,[1.4785] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149526032.5813
672,10000,509830505.7578,62876,2.6778,35732.2493,261310140.0000,261692313.4371,261692313.4371,[1.4795] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149526816.2881
684,10000,509833772.8003,62936,22.9815,34768.2807,261310140.0000,261539239.1881,261539239.1881,[1.4804] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149528212.0173
